39 to 103,1
507 to 746,1
200 to 518,1
219 to 265,2
385 to 720,1
86 to 493,1
17 to 416,1
7 to 360,1
203 to 679,1
512 to 620,1
92 to 296,1
94 to 918,1
49 to 376,1
49 to 374,1
244 to 668,1
393 to 569,1
121 to 569,1
194 to 416,1
80 to 824,1
620 to 861,1
4 to 155,1
431 to 825,1
70 to 392,1
14 to 18,1
337 to 522,1
637 to 746,1
92 to 278,1
435 to 891,1
147 to 360,1
441 to 623,1
250 to 373,2
84 to 542,1
312 to 374,1
29 to 61,1
401 to 524,1
427 to 557,1
71 to 562,1
2 to 145,1
507 to 638,1
347 to 861,1
50 to 266,1
229 to 425,1
367 to 971,1
200 to 404,1
482 to 583,1
57 to 827,1
759 to 844,1
222 to 319,1
169 to 814,1
11 to 29,1
152 to 769,1
43 to 88,1
384 to 699,1
570 to 648,1
40 to 443,1
149 to 168,1
61 to 350,1
866 to 945,1
149 to 160,2
67 to 785,1
352 to 910,1
543 to 593,1
543 to 598,1
197 to 264,1
54 to 779,1
522 to 649,1
500 to 617,1
785 to 916,1
636 to 813,1
123 to 815,1
748 to 990,1
398 to 461,1
410 to 663,1
598 to 850,1
634 to 843,1
31 to 41,1
183 to 485,1
183 to 376,1
115 to 680,1
425 to 973,1
116 to 221,1
238 to 404,3
113 to 762,1
496 to 674,1
65 to 235,1
914 to 999,2
113 to 169,1
384 to 504,1
384 to 851,1
430 to 472,1
383 to 556,1
35 to 542,1
142 to 528,1
262 to 425,1
115 to 425,1
649 to 779,4
303 to 464,2
531 to 616,1
565 to 973,1
115 to 197,1
158 to 274,1
15 to 47,1
277 to 793,1
489 to 945,1
35 to 145,1
21 to 277,1
837 to 998,1
238 to 711,4
13 to 409,1
500 to 764,1
49 to 416,1
8 to 23,1
175 to 273,1
39 to 727,1
188 to 476,1
136 to 307,1
283 to 334,1
196 to 759,1
36 to 294,1
173 to 357,1
115 to 229,1
486 to 567,1
234 to 789,1
228 to 312,2
279 to 621,1
206 to 327,1
286 to 462,1
268 to 818,1
266 to 383,1
69 to 339,1
36 to 748,1
364 to 500,1
41 to 228,1
103 to 171,1
130 to 354,1
58 to 306,2
149 to 779,1
130 to 352,1
246 to 288,1
332 to 829,1
99 to 116,1
103 to 174,1
234 to 307,1
164 to 702,1
55 to 859,1
81 to 197,1
168 to 272,1
117 to 809,1
605 to 970,1
35 to 321,1
385 to 605,1
4 to 411,1
265 to 442,1
468 to 557,1
23 to 821,1
652 to 883,1
108 to 257,1
163 to 379,1
335 to 814,2
28 to 321,1
557 to 877,1
255 to 817,1
176 to 411,2
8 to 508,1
60 to 116,1
60 to 115,1
674 to 866,1
100 to 381,1
70 to 305,1
385 to 914,2
59 to 205,1
726 to 858,1
58 to 508,1
22 to 352,1
223 to 350,1
22 to 282,1
124 to 404,1
350 to 371,1
7 to 350,1
39 to 264,1
137 to 637,1
11 to 531,1
384 to 696,1
228 to 623,1
15 to 112,1
15 to 115,1
325 to 718,2
626 to 660,1
284 to 461,1
173 to 465,1
116 to 597,1
250 to 425,1
107 to 132,2
74 to 843,1
43 to 124,1
155 to 973,1
400 to 980,1
19 to 338,1
775 to 976,1
186 to 402,1
562 to 607,1
